Product Name,Launch Date(s),Product Hunt URL,Official Website,Founder Name(s),Founder Evidence Type,Contact Email(s),Founder Source Links,Email Source Links,Notes
Persona.js,2026-6-28,https://www.producthunt.com/products/persona-12,https://www.persona-chat.dev,Nate Stewart; Nathan Booker,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/persona-12,https://www.persona-chat.dev,No qualifying public business/contact email was found on the crawled official-site pages.
Dotient,2026-6-28,https://www.producthunt.com/products/dotient,https://dotient.com,Declan,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/dotient,https://dotient.com,Official-site crawl status: no_url No qualifying public business/contact email was found on the crawled official-site pages.
Lyto,2026-6-28,https://www.producthunt.com/products/lyto,https://www.trylyto.com,Gleb Babichev; Arystan Tanekov,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/lyto,https://www.trylyto.com/contact; https://www.trylyto.com/contact-us; https://www.trylyto.com/about; https://www.trylyto.com/about-us; https://www.trylyto.com/team; https://www.trylyto.com/company; https://www.trylyto.com/support; https://www.trylyto.com/help,No qualifying public business/contact email was found on the crawled official-site pages.
Wirable,2026-6-28,https://www.producthunt.com/products/wirable,https://wirable.dev,ISLAM HACHIMI; Rania Rimali,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/wirable,https://wirable.dev,No qualifying public business/contact email was found on the crawled official-site pages.
kodwai,2026-6-28,https://www.producthunt.com/products/kodwai-launc,https://kodwai.com,Dogukan Kurnaz; Ege Hakan Karaagac,Product Hunt public launch-team/maker names; founder title not independently verified,hakan@kodwai.com,https://www.producthunt.com/products/kodwai-launc,https://kodwai.com,
DevGlobe,2026-6-28,https://www.producthunt.com/products/devglobe,https://devglobe.app,nakooo; Adrien,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/devglobe,https://devglobe.app,Official-site crawl status: no_url No qualifying public business/contact email was found on the crawled official-site pages.
Weavz.io,2026-6-28,https://www.producthunt.com/products/weavz-io,https://weavz.io,Ahmad,Product Hunt public launch-team/maker names; founder title not independently verified,hello@weavz.io,https://www.producthunt.com/products/weavz-io,https://weavz.io/contact; https://dashboard.weavz.io/billing?plan=team&interval=monthly&trial=1,
Salestrics Resolve,2026-6-28; 2026-7-4,https://www.producthunt.com/products/salestrics,https://salestrics.com,Austin Buhl,Official website founder-role or founded-by evidence,info@salestrics.com; support@salestrics.com,https://salestrics.com; https://www.producthunt.com/products/salestrics,https://www.salestrics.com/contact/; https://www.salestrics.com/about/; https://www.salestrics.com/support/; https://www.salestrics.com/revenue-teams/,
FocusStack,2026-6-28,https://www.producthunt.com/products/focusstack,https://usefocusstack.com,ViveK; Nishlesh Goel,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/focusstack,https://usefocusstack.com/contact; https://usefocusstack.com/contact-us; https://usefocusstack.com/about; https://usefocusstack.com/about-us; https://usefocusstack.com/team; https://usefocusstack.com/company; https://usefocusstack.com/support; https://usefocusstack.com/help,No qualifying public business/contact email was found on the crawled official-site pages.
AI-native - Continuous Planning Platform,2026-6-28,https://www.producthunt.com/products/ai-native-continuous-planning-platform,https://nexusync.io,Mohammed Ubaid; Nabil Kunda,Product Hunt public launch-team/maker names; founder title not independently verified,sales@nexusync.io; support@nexusync.io,https://www.producthunt.com/products/ai-native-continuous-planning-platform,https://nexusync.io/contact; https://nexusync.io/about,
VersaVoice AI,2026-6-28,https://www.producthunt.com/products/versavoice-ai,https://versavoice.ai,Stephen Nortje,Product Hunt public launch-team/maker names; founder title not independently verified,hello@versavoice.ai,https://www.producthunt.com/products/versavoice-ai,https://versavoice.ai/contact; https://versavoice.ai/contact-us; https://versavoice.ai/about; https://versavoice.ai/about-us; https://versavoice.ai/team; https://versavoice.ai/company; https://versavoice.ai/support; https://versavoice.ai/help,
Batcheet,2026-6-28,https://www.producthunt.com/products/batcheet,https://batcheet.com,MN Muhammad Naufil,Official website founder-role or founded-by evidence,,https://batcheet.com; https://www.producthunt.com/products/batcheet,https://batcheet.com/about,No qualifying public business/contact email was found on the crawled official-site pages.
TeenCycle,2026-6-28,https://www.producthunt.com/products/teencycle,https://teencycle.com,Laura,Official website founder-role or founded-by evidence,contact@teencycle.com; support@teencycle.com,https://teencycle.com; https://www.producthunt.com/products/teencycle,https://teencycle.com/about; https://teencycle.com/support,
Auto-Immo PRO 2.0,2026-6-28,https://www.producthunt.com/products/auto-immo-pro-2-0,https://auto-immo.com,Nicolas Maton,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/auto-immo-pro-2-0,https://auto-immo.com/support/,No qualifying public business/contact email was found on the crawled official-site pages.
Spira for Product Hunt Makers,2026-6-29,https://www.producthunt.com/products/spira-ai,https://spira.ai,Jianing Wei; Upasana Pradhan; Sol,Product Hunt public launch-team/maker names; founder title not independently verified,contact@spira.ai,https://www.producthunt.com/products/spira-ai,https://spira.ai/contact; https://spira.ai/contact-us; https://spira.ai/about; https://spira.ai/about-us; https://spira.ai/team; https://spira.ai/company; https://spira.ai/support; https://spira.ai/help,
Agent Mode by Receiptor AI,2026-6-29,https://www.producthunt.com/products/receiptor-ai,https://receiptor.ai,Rohan Chaubey; Gvantsa Garmelia; Romeo Bellon,Product Hunt public launch-team/maker names; founder title not independently verified,info@receiptor.ai,https://www.producthunt.com/products/receiptor-ai,https://receiptor.ai/about; https://receiptor.ai/support,
ClinePass,2026-6-29,https://www.producthunt.com/products/cline-4,https://cline.bot,Thomas Liu; Saoud Rizwan; Renee Huang,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/cline-4,https://cline.bot/contact; https://cline.bot/contact-sales,No qualifying public business/contact email was found on the crawled official-site pages.
VisibAI,2026-6-29,https://www.producthunt.com/products/visibai-ai-visibility-audit-tool,https://getvisibai.com,Francesco Bianchi,Product Hunt public launch-team/maker names; founder title not independently verified,info@getvisibai.com,https://www.producthunt.com/products/visibai-ai-visibility-audit-tool,https://getvisibai.com/contact; https://getvisibai.com/for/marketing-teams,
PMB,2026-6-29,https://www.producthunt.com/products/pmb-local-first-memory-for-ai,https://pmbai.dev,Oleksii Bondar,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/pmb-local-first-memory-for-ai,https://pmbai.dev,No qualifying public business/contact email was found on the crawled official-site pages.
Sami,2026-6-29,https://www.producthunt.com/products/sami-automate-pace-scale-your-ads,https://sami.bot,Canberk Beker; ROASted Sami,Official website founder-role or founded-by evidence,,https://sami.bot; https://www.producthunt.com/products/sami-automate-pace-scale-your-ads,https://sami.bot,No qualifying public business/contact email was found on the crawled official-site pages.
Crest,2026-6-29,https://www.producthunt.com/products/crest-3,https://crestnotch.app,zack,Product Hunt public launch-team/maker names; founder title not independently verified,contact@crestnotch.app; license@crestnotch.app,https://www.producthunt.com/products/crest-3,https://crestnotch.app/support,
Intelli,2026-6-29,https://www.producthunt.com/products/intelli,https://www.intelliconcierge.com,Sika Antwi; Sila Kironji; Were Samson Bruno,Product Hunt public launch-team/maker names; founder title not independently verified,support@intelliconcierge.com,https://www.producthunt.com/products/intelli,https://www.intelliconcierge.com/contact; https://www.intelliconcierge.com/about; https://www.intelliconcierge.com/company; https://www.intelliconcierge.com/support,
ReadHere,2026-6-29,https://www.producthunt.com/products/readhere-2,https://readhere.app,Quazi Marufur Rahman,Product Hunt public launch-team/maker names; founder title not independently verified,hello@readhere.app,https://www.producthunt.com/products/readhere-2,https://readhere.app,
Outpaint - Ad Reframe,2026-6-29,https://www.producthunt.com/products/outpaint-com-ad-reframe,https://outpaint.com/ad-reframe,Dev Patel; Daniel Elwell; Kyle De Los Santos,Product Hunt public launch-team/maker names; founder title not independently verified,hello@outpaint.com,https://www.producthunt.com/products/outpaint-com-ad-reframe,https://outpaint.com/ad-reframe,
Upstream FTP,2026-6-29,https://www.producthunt.com/products/upstream-ftp,https://apps.apple.com/us/app/upstream-ftp-sftp-client/id6780279043?mt=12,Carlo Di Giuseppe,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/upstream-ftp,https://apps.apple.com/us/app/contact-manager-backup/id1523270492?platform=mac,No qualifying public business/contact email was found on the crawled official-site pages.
Mailgent,2026-6-29,https://www.producthunt.com/products/mailgent-2,https://mailgent.dev,Rajesh; Danny Heng,Product Hunt public launch-team/maker names; founder title not independently verified,hello@mailgent.dev; sales@mailgent.dev; privacy@mailgent.dev; bright-otter-k3f9@mailgent.dev,https://www.producthunt.com/products/mailgent-2,https://mailgent.dev/contact,
Zorya - Pregnancy Tracker,2026-6-29,https://www.producthunt.com/products/zorya-pregnancy-tracker,https://getzorya.app,Matea Raić,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/zorya-pregnancy-tracker,https://getzorya.app/en/about/,No qualifying public business/contact email was found on the crawled official-site pages.
TanStarter,2026-6-29,https://www.producthunt.com/products/tanstarter,https://tanstarter.dev,MkImage; MkSaaS; Mkdirs,Official website founder-role or founded-by evidence,support@tanstarter.dev,https://tanstarter.dev; https://www.producthunt.com/products/tanstarter,https://tanstarter.dev/contact; https://tanstarter.dev/about,
KEEP,2026-6-29,https://www.producthunt.com/products/keep-9,https://keep.lovebox.love,Jean Gregoire,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/keep-9,https://keep.lovebox.love,No qualifying public business/contact email was found on the crawled official-site pages.
Loop by ads.expert,2026-6-29,https://www.producthunt.com/products/loop-by-ads-expert,https://loop.ads.expert,Not publicly identified in the captured Product Hunt page or official-site pages,No founder name found,,https://www.producthunt.com/products/loop-by-ads-expert,https://loop.ads.expert,No qualifying public business/contact email was found on the crawled official-site pages.
Blinked,2026-6-29,https://www.producthunt.com/products/blinked-your-linkedin-outreach-copilot,https://linkedin.blinked.dev,Malith Gamage Built,Official website founder-role or founded-by evidence,,https://linkedin.blinked.dev; https://www.producthunt.com/products/blinked-your-linkedin-outreach-copilot,https://linkedin.blinked.dev/contact; https://linkedin.blinked.dev/about,No qualifying public business/contact email was found on the crawled official-site pages.
Cursor for iOS,2026-6-30,https://www.producthunt.com/products/cursor,https://cursor.com,Bret Taylor,Official website founder-role or founded-by evidence,hi@cursor.com,https://cursor.com; https://www.producthunt.com/products/cursor,https://cursor.com/contact; https://cursor.com/contact-us; https://cursor.com/about; https://cursor.com/about-us; https://cursor.com/team; https://cursor.com/company; https://cursor.com/support; https://cursor.com/help; https://cursor.com/contact-sales?source=navbar; https://cursor.com/en-US/business/teams,
Skills Marketplace by Databox,2026-6-30; 2026-7-27,https://www.producthunt.com/products/databox,http://databox.com,Spela Juric; Kumar Abhishek; Domen Zukovec,Product Hunt public launch-team/maker names; founder title not independently verified,hi@databox.com; jobs@databox.com,https://www.producthunt.com/products/databox,https://databox.com:443/teams/functional-leaders; https://databox.com:443/teams/business-analyst; https://databox.com:443/about,
Foresight by Lightning Rod,2026-6-30,https://www.producthunt.com/products/training-data-generator,https://www.lightningrod.ai/models,Harvard University,Official website founder-role or founded-by evidence,,https://www.lightningrod.ai/models; https://www.producthunt.com/products/training-data-generator,https://www.lightningrod.ai/about,No qualifying public business/contact email was found on the crawled official-site pages.
Akiflow,2026-6-30,https://www.producthunt.com/products/akiflow,https://www.akiflow.com,Combinator YS Yaron Samid; TechAviv MG Matilde Giglio; Even AS Adam Schwartzt; Lumen ER Eilon Reshef; Even AS Adam; Articulate MT Matthew; Lumen ER Eilon; Gong.io AL Ayal,Official website founder-role or founded-by evidence,billing@akiflow.com; sales@akiflow.com; support@akiflow.com,https://www.akiflow.com; https://www.producthunt.com/products/akiflow,https://akiflow.com/contacts; https://akiflow.com/about; https://product.akiflow.com/help,
Supafax,2026-6-30,https://www.producthunt.com/products/supafax,https://supafax.com,Anton Muratov; Rohan Mahendraker,Product Hunt public launch-team/maker names; founder title not independently verified,anton@supafax.com; rohan@supafax.com,https://www.producthunt.com/products/supafax,https://supafax.com,
Pluno,2026-6-30,https://www.producthunt.com/products/pluno,https://pluno.ai/browser,Pluno Alexander Abstreiter; Korbinian Abstreiter,Official website founder-role or founded-by evidence,hi@pluno.ai; korbi@pluno.ai,https://pluno.ai/browser; https://www.producthunt.com/products/pluno,https://pluno.ai/about,
v0 Design Systems 2.0,2026-6-30,https://www.producthunt.com/products/v0,https://v0.link/ph,Evil Rabbit; Guillermo Rauch; Fernando Rojo,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/v0,https://v0.link/contact; https://v0.link/contact-us; https://v0.link/about; https://v0.link/about-us; https://v0.link/team; https://v0.link/company; https://v0.link/support; https://v0.link/help,No qualifying public business/contact email was found on the crawled official-site pages.
Dayflow,2026-6-30,https://www.producthunt.com/products/dayflow-4,https://dayflow.so,Jerry Liu,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/dayflow-4,https://dayflow.so,Official-site crawl status: no_url No qualifying public business/contact email was found on the crawled official-site pages.
zopnight,2026-6-30,https://www.producthunt.com/products/zopnight,https://zop.dev/zopnight?utm_source=producthunt&utm_medium=referral&utm_campaign=launch_jun30&utm_content=zopnight,Mukesh Singh,Official website founder-role or founded-by evidence,hello@zop.dev; sales@zop.dev; security@zop.dev; support@zop.dev; partners@zop.dev,https://zop.dev/zopnight?utm_source=producthunt&utm_medium=referral&utm_campaign=launch_jun30&utm_content=zopnight; https://www.producthunt.com/products/zopnight,https://zop.dev/contact; https://zop.dev/about; https://zop.dev/for/finops-teams; https://zop.dev/for/sre-teams,
AgentPeek,2026-6-30,https://www.producthunt.com/products/agentpeek,https://agentpeek.app,Bren Huber,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/agentpeek,https://agentpeek.app,No qualifying public business/contact email was found on the crawled official-site pages.
Tinkerfont,2026-6-30,https://www.producthunt.com/products/tinkerfont,https://tinkerfont.com,Mighil,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/tinkerfont,https://tinkerfont.com/support,No qualifying public business/contact email was found on the crawled official-site pages.
Oakamo,2026-6-30,https://www.producthunt.com/products/oakamo,https://oakamo.com,Nicola Piedimonte,Product Hunt public launch-team/maker names; founder title not independently verified,official-support@oakamo.com,https://www.producthunt.com/products/oakamo,https://oakamo.com/contact; https://app.oakamo.com/pricing?plan=supporter,
Brain2Qwerty v2,2026-6-30; 2026-7-6; 2026-8-6,https://www.producthunt.com/products/meta,https://www.meta.com,Alexandr Wang; Ernest Tien; Ruby Cheung,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/meta,https://www.meta.com/help/support/; https://www.meta.com/about/; https://www.meta.com/help/,No qualifying public business/contact email was found on the crawled official-site pages.
Load Nova,2026-6-30,https://www.producthunt.com/products/load-nova,https://www.loadnova.app,Andrii Karabutov; Denis Kartavenko; Anton Mironov,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/load-nova,https://www.loadnova.app,No qualifying public business/contact email was found on the crawled official-site pages.
Justwrite,2026-6-30,https://www.producthunt.com/products/justwrite,https://justwrite.sbs,Manish Vishwakarma,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/justwrite,https://justwrite.sbs/about,No qualifying public business/contact email was found on the crawled official-site pages.
Bilt.me - Figma,2026-6-30,https://www.producthunt.com/products/bilt-me,https://bilt.me,Kevin Akkermann; Uku Joost Annus; Karl Kiilaspää,Product Hunt public launch-team/maker names; founder title not independently verified,info@bilt.me; sales@bilt.me; support@bilt.me,https://www.producthunt.com/products/bilt-me,https://bilt.me/contact; https://bilt.me/about,
Clade,2026-6-30,https://www.producthunt.com/products/cleo-4,https://clade.sh,Rahim; Rahman Bazarov,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/cleo-4,https://clade.sh,No qualifying public business/contact email was found on the crawled official-site pages.
ChatCut,2026-7-10,https://www.producthunt.com/products/chatcut-ai-video-editor,https://www.chatcut.io,Finn; Kaiwen Li; Alima Strickland,Product Hunt public launch-team/maker names; founder title not independently verified,team@chatcut.io; alima@chatcut.io,https://www.producthunt.com/products/chatcut-ai-video-editor,https://chatcut.io/contact,
Sim,2026-7-10,https://www.producthunt.com/products/sim-studio,https://www.sim.ai,Emir Karabeg; Waleed Latif,Product Hunt public launch-team/maker names; founder title not independently verified,support@cal.com; support@getalby.com,https://www.producthunt.com/products/sim-studio,https://www.sim.ai/contact; https://cal.com/team/sim/demo,Email domain differs from the Product Hunt-listed site domain; verify parent-company relationship.
ConnectMachine 2.0,2026-7-10,https://www.producthunt.com/products/connectmachine-2,https://www.connectmachine.ai,Mudit Singh; Vinod Tahelyani; Neha Tewari,Product Hunt public launch-team/maker names; founder title not independently verified,hi@connectmachine.ai,https://www.producthunt.com/products/connectmachine-2,https://www.connectmachine.ai/contact-us/; https://www.connectmachine.ai/about/; https://www.connectmachine.ai/help/; https://www.connectmachine.ai/use-case/contact-manager/; https://www.connectmachine.ai/use-case/team-business-cards/; https://www.connectmachine.ai/use-case/export-contacts-to-crm/,
PlugThis,2026-7-10,https://www.producthunt.com/products/plugthis-chrome-extension-generator,https://plugthis.ai,Chetan Giridhar; PlugThis. Udaya Prakash; Namrata Bankoti; Saurabh Dey Founding,Official website founder-role or founded-by evidence,support@plugthis.ai,https://plugthis.ai; https://www.producthunt.com/products/plugthis-chrome-extension-generator,https://plugthis.ai/team; https://plugthis.ai/support,
Scarlett.,2026-7-10,https://www.producthunt.com/products/tryscarlett,https://tryscarlett.ai,Jace; Jirayr Melikyan; Will Deane,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/tryscarlett,https://tryscarlett.ai/support,No qualifying public business/contact email was found on the crawled official-site pages.
GPT-5.6,2026-7-9; 2026-7-10; 2026-7-16; 2026-7-25,https://www.producthunt.com/products/openai,https://openai.com,Dominik Kundel; Thomas Ricouard; Sid Kumar,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/openai,https://openai.com,No qualifying public business/contact email was found on the crawled official-site pages.
Juicy - Mac Battery App,2026-7-10,https://www.producthunt.com/products/juicy-battery-app,https://getjuicy.app,Dominik Sobe,Product Hunt public launch-team/maker names; founder title not independently verified,hello@getjuicy.app,https://www.producthunt.com/products/juicy-battery-app,https://getjuicy.app,
Native SDK,2026-7-10,https://www.producthunt.com/products/vercel,https://vercel.com,Richard Oliver Bray; Chris Tate; Anshuman Bhardwaj,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/vercel,https://vercel.com/contact; https://vercel.com/login?next=%2Fcontact-us; https://vercel.com/about; https://vercel.com/login?next=%2Fabout-us; https://vercel.com/login?next=%2Fteam; https://vercel.com/login?next=%2Fcompany; https://vercel.com/help,No qualifying public business/contact email was found on the crawled official-site pages.
Ship OS by Notion,2026-7-10,https://www.producthunt.com/products/notion,https://www.notion.so,Ryan Nystrom; Simon Last; Jake Teton-Landis,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/notion,https://www.notion.com/about; https://www.notion.com/help,No qualifying public business/contact email was found on the crawled official-site pages.
StoryChief Connect,2026-7-10,https://www.producthunt.com/products/storychief-io,https://storychief.io,Gregory Claeyssens; Brik De Maeyer; Valeri Potchekailov,Product Hunt public launch-team/maker names; founder title not independently verified,support@storychief.io,https://www.producthunt.com/products/storychief-io,https://www.storychief.io/contact; https://www.storychief.io/about-us; https://www.storychief.io/marketing-teams; https://www.storychief.io/editorial-teams,
RepStandard,2026-7-10,https://www.producthunt.com/products/repstandard,https://apps.apple.com/us/app/repstandard-home-workouts/id6761927539,Edvinas,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/repstandard,https://apps.apple.com/us/app/repstandard-home-workouts/id6761927539,No qualifying public business/contact email was found on the crawled official-site pages.
Muse Spark 1.1 by Meta AI,2026-7-10,https://www.producthunt.com/products/muse-spark-1-1-by-meta,https://ai.meta.com/blog/introducing-muse-spark-meta-model-api,Alexandr Wang,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/muse-spark-1-1-by-meta,https://ai.meta.com/about/,No qualifying public business/contact email was found on the crawled official-site pages.
Mispher,2026-7-10,https://www.producthunt.com/products/mispher-agentic-transcription-for-mac,https://mispher.com,Daniel Saad,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/mispher-agentic-transcription-for-mac,https://mispher.com,No qualifying public business/contact email was found on the crawled official-site pages.
Yasmine Works,2026-7-10,https://www.producthunt.com/products/yasmine-works,https://yasmine.works,Not publicly identified in the captured Product Hunt page or official-site pages,No founder name found,hello@yasmine.works; security@yasmine.works; support@yasmine.works; privacy@yasmine.works,https://www.producthunt.com/products/yasmine-works,https://yasmine.works/contact; https://yasmine.works/about; https://yasmine.works/support,
Bruno,2026-7-1; 2026-7-4; 2026-7-8; 2026-7-9; 2026-7-10; 2026-7-11; 2026-7-14; 2026-7-16; 2026-7-21; 2026-7-24; 2026-7-27; 2026-7-28; 2026-7-30; 2026-7-31; 2026-8-2; 2026-8-4; 2026-8-6; 2026-8-13; 2026-8-14; 2026-8-17,https://www.producthunt.com/products/bruno-6,https://usebruno.com,Joseph Foster; Edouard De Labareyre,Official website founder-role or founded-by evidence,support@usebruno.com,https://usebruno.com; https://www.producthunt.com/products/bruno-6,https://www.usebruno.com/team; https://www.usebruno.com/support,
Hyperiux Vault,2026-7-10,https://www.producthunt.com/products/vault-9,https://vault.hyperiux.com,Gaurav Verma; Ishita Srivastav; Khushi Malik,Product Hunt public launch-team/maker names; founder title not independently verified,hello@hyperiux.com,https://www.producthunt.com/products/vault-9,https://vault.hyperiux.com,
AInvest Terminal,2026-7-10,https://www.producthunt.com/products/ainvest-terminal,https://www.ainvest.com/terminal,Mcelyea Robin; Zenon Zuo; Leo Cool,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/ainvest-terminal,https://www.ainvest.com/terminal,No qualifying public business/contact email was found on the crawled official-site pages.
Qlane,2026-7-10,https://www.producthunt.com/products/qlane,https://qlane.ai,Max Kharuta; Nazar Kuzmenko,Product Hunt public launch-team/maker names; founder title not independently verified,hello@qlane.ai; legal@qlane.ai; security@qlane.ai; privacy@qlane.ai,https://www.producthunt.com/products/qlane,https://qlane.ai/contact,
Effects SDK,2026-7-11,https://www.producthunt.com/products/effects-sdk,https://effectssdk.ai,Anton Tushmintsev; Maxim Troshin,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/effects-sdk,https://effectssdk.ai,No qualifying public business/contact email was found on the crawled official-site pages.
San Fran Sim,2026-7-11,https://www.producthunt.com/products/san-fran-sim,https://sanfransim.com,Daniel Kempe,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/san-fran-sim,https://sanfransim.com/about.html,No qualifying public business/contact email was found on the crawled official-site pages.
ChatGPT Work,2026-7-11,https://www.producthunt.com/products/chatgpt-work,https://openai.com/index/chatgpt-for-your-most-ambitious-work,Not publicly identified in the captured Product Hunt page or official-site pages,No founder name found,,https://www.producthunt.com/products/chatgpt-work,https://openai.com/index/chatgpt-for-your-most-ambitious-work,No qualifying public business/contact email was found on the crawled official-site pages.
Kickbacks CLI,2026-7-11,https://www.producthunt.com/products/kickbacks-cli,https://gabeperez.github.io/kickback-cli,Gabe Perez,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/kickbacks-cli,https://gabeperez.github.io/kickback-cli,No qualifying public business/contact email was found on the crawled official-site pages.
SoundPipe,2026-7-11,https://www.producthunt.com/products/soundpipe,https://soundpipe.app,Chris Battarbee,Product Hunt public launch-team/maker names; founder title not independently verified,support@soundpipe.app,https://www.producthunt.com/products/soundpipe,https://soundpipe.app,
Breathing In Labour,2026-7-11,https://www.producthunt.com/products/breathing-in-labour,https://lebene.pl/en/app/breathing-in-labour,Artur Jankowski,Product Hunt public launch-team/maker names; founder title not independently verified,contact@lebene.pl; cooperation@lebene.pl,https://www.producthunt.com/products/breathing-in-labour,https://lebene.pl/en/app/breathing-in-labour,
Trailsense,2026-7-11,https://www.producthunt.com/products/trailsense,https://trailsense.at,Felix Beer; Lea Etzlinger; Francesco Lanthaler,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/trailsense,https://trailsense.at,No qualifying public business/contact email was found on the crawled official-site pages.
Hustle by Zekoy,2026-7-11,https://www.producthunt.com/products/hustle-by-zekoy,https://hustle.zekoy.online,Rishabh Nirmalkar; Amit Kumar; John Varghese (J0X),Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/hustle-by-zekoy,https://hustle.zekoy.online/about,No qualifying public business/contact email was found on the crawled official-site pages.
SnapPeach,2026-7-11,https://www.producthunt.com/products/snappeach,https://snappeach.com,Kunal Kakade,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/snappeach,https://snappeach.com,No qualifying public business/contact email was found on the crawled official-site pages.
MeMex,2026-7-11,https://www.producthunt.com/products/memex-2,https://memex-api.xyz,MeMex,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/memex-2,https://memex-api.xyz/support/,No qualifying public business/contact email was found on the crawled official-site pages.
Ortu,2026-7-11,https://www.producthunt.com/products/ortu,https://ortu.abhijithpsubash.com,ABHIJITH P SUBASH,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/ortu,https://ortu.abhijithpsubash.com,No qualifying public business/contact email was found on the crawled official-site pages.
YouTube Comments Exporter,2026-7-11,https://www.producthunt.com/products/youtube-comments-exporter-by-veerexa,https://www.veerexa.com/youtube_comments,Ajeet Yadav; Kapil Dev Pal 👨‍💻,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/youtube-comments-exporter-by-veerexa,https://www.veerexa.com/youtube_comments,No qualifying public business/contact email was found on the crawled official-site pages.
Investor Updates,2026-7-11,https://www.producthunt.com/products/investor-updates-2,https://angelmatch.io/investor-updates,Salavat Yarullin; Burul Kanatbekova; BEKSULTAN BEKTURGAN,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/investor-updates-2,https://angelmatch.io/investor-updates,No qualifying public business/contact email was found on the crawled official-site pages.
Clearcan,2026-7-11,https://www.producthunt.com/products/clearcan,https://apps.apple.com/app/id6772304506,Ion Hortolomei,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/clearcan,https://apps.apple.com/app/id6772304506,No qualifying public business/contact email was found on the crawled official-site pages.
Plexa,2026-7-11,https://www.producthunt.com/products/plexa-2,https://plexatrust.com,Peter Lawrence,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/plexa-2,https://plexatrust.com,Official-site crawl status: no_url No qualifying public business/contact email was found on the crawled official-site pages.
Miora,2026-7-12,https://www.producthunt.com/products/miora-2,https://miora.design,EchoSun; Daniel Li; Ledo,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/miora-2,https://miora.design/contact; https://miora.design/contact-us; https://miora.design/about; https://miora.design/about-us; https://miora.design/team; https://miora.design/company; https://miora.design/support; https://miora.design/help,No qualifying public business/contact email was found on the crawled official-site pages.
JustVibe,2026-7-12,https://www.producthunt.com/products/justvibe,https://justvibe.com,Lianghao Chen,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/justvibe,https://justvibe.com,No qualifying public business/contact email was found on the crawled official-site pages.
